@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
2740,'2020/10/06 11:51:54:421',2742,17.701309,1798.51062,10.398855,5.415302,2.043067,48.641861,0,0,0,0,2
2741,'2020/10/06 11:51:54:827',2743,10.818646,2912.744385,6.429754,4.102128,1.145585,1.73898,1498143.375,57.699772,14.60127,1.855046,3
2742,'2020/10/06 11:51:55:606',2744,18.294245,2516.923584,5.446473,4.371,1.255578,137.677917,3974692.75,319.133575,1.643499,6.169319,4
2743,'2020/10/06 11:51:56:032',2745,12.157001,3437.287354,4.021893,4.745757,0.733189,6.847148,973661,6.176346,1.156298,0.385705,5
2744,'2020/10/06 11:51:56:875',2746,14.856212,3349.427979,4.327209,2.894971,0.987673,38.000706,5559763,325.05011,12.043883,6.821194,6
2745,'2020/10/06 11:51:57:759',2747,17.188538,5925.04541,3.424368,3.847432,-0.560876,8.141374,223984.390625,3.424022,2.664547,0.360919,7
2746,'2020/10/06 11:51:58:197',2748,9.95892,3377.678955,4.638781,4.222851,1.192013,10.494412,18181606,9.913857,0.717532,5.475048,8
2747,'2020/10/06 11:51:58:624',2749,10.659311,1981.39624,9.029026,3.22105,1.993501,48.600185,9224057,4.217162,3.308507,4.903415,9
2748,'2020/10/06 11:51:59:039',2750,10.388853,1432.655029,16.157614,5.357234,2.673424,3.423662,1234292.125,21.493952,0.000208,0.423644,10
2749,'2020/10/06 11:51:59:733',2751,12.194613,1185.041992,17.356766,4.230798,2.922346,50.69931,151724.15625,71.044319,4.285267,0.97256,11
2750,'2020/10/06 11:52:00:096',2752,7.8181,1140.249634,13.968786,5.118405,2.876252,0.749281,25379.205078,9.833295,1.542095,0.093462,12
2751,'2020/10/06 11:52:00:907',2753,12.893884,1649.337769,7.49024,4.383808,1.929672,26.266741,138293.46875,453.42099,1.773983,2.999082,13
2752,'2020/10/06 11:52:01:345',2754,11.137264,1473.49353,9.596063,6.122876,2.267059,0.023075,128727.007813,1.054536,5.127059,0.130319,14
