@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
441,'2020/10/15 21:38:23:671',480,17.764589,-4.973907,0.430186,912.473999,153.233093,-5.326753,31.655949,-4.321187,0.19464,22.911909,-5.613617,0.420814,4.356411,-0.450728,0.020197,1
442,'2020/10/15 21:38:24:343',481,12.568508,-0.644121,0.102396,248.665192,507.54068,-19.18408,23.183977,-3.627745,0.153109,10.451569,-2.032419,0.132718,3.837302,-0.562069,0.023414,2
443,'2020/10/15 21:38:24:855',482,39.275116,-11.481172,0.971712,4285.268066,-491.824463,43.20723,2.62953,0.225735,-0.026733,10.254303,-1.900209,0.148907,0.397556,0.175869,-0.019103,3
444,'2020/10/15 21:38:25:740',483,5.098392,1.797978,-0.049468,944.710632,354.222626,-9.974581,11.254467,-1.189277,0.036184,1.512504,0.47464,-0.014745,2.452005,-0.25986,0.007497,4
445,'2020/10/15 21:38:26:274',484,28.099821,-5.399072,0.31957,4688.230469,-298.941345,14.789069,1.933939,0.054375,0.027785,3.336515,0.106797,-0.007046,0.129795,-0.002256,0.01197,5
446,'2020/10/15 21:38:27:224',485,18.390778,-1.043909,0.043306,1860.429932,417.656738,-8.359602,5.612866,-0.260669,0.006088,4.937447,-0.293693,0.00975,2.157287,-0.319613,0.007651,6
447,'2020/10/15 21:38:28:215',486,11.53696,-0.020985,0.017129,8030.365234,-474.414063,11.681459,2.586409,0.191754,-0.005717,4.416394,-0.031619,0.001999,-2.085312,0.325017,-0.007859,7
448,'2020/10/15 21:38:28:769',487,19.613155,0.91719,-0.254914,3130.307617,299.317993,-38.401989,5.219224,-1.008188,0.122837,3.136341,0.115555,0.014207,1.28181,-0.157697,0.020133,8
449,'2020/10/15 21:38:29:303',488,10.794336,2.220537,-0.312156,2661.150146,-380.093048,27.329821,-2.512036,6.115573,-0.498868,10.534256,-1.927112,0.136468,0.288484,0.827692,-0.067242,9
450,'2020/10/15 21:38:29:825',489,1.860482,7.940614,-0.907139,2116.920898,-119.1073,0.477569,5.050686,1.587217,-0.014808,9.039317,0.009637,-0.096085,1.508321,0.179382,-0.0002,10
451,'2020/10/15 21:38:30:626',490,11.030128,-0.591563,0.044249,1645.532715,-158.349152,7.484978,11.287109,3.026164,-0.17026,4.966592,-0.087268,0.006004,1.742307,0.474061,-0.024188,11
452,'2020/10/15 21:38:31:095',491,15.716852,-0.159018,-0.019693,1473.762573,37.41729,-11.666548,7.066134,-0.601334,0.131807,4.861219,0.388501,-0.018742,2.041054,-0.10712,0.024727,12
453,'2020/10/15 21:38:31:970',492,3.234854,0.66103,-0.002603,1567.201538,-34.766193,1.572698,17.980793,-0.822719,0.013338,2.742197,0.141836,0.000878,2.934777,-0.049153,0.000028,13
454,'2020/10/15 21:38:32:514',493,12.778698,2.843923,-0.409316,2276.383301,-337.96991,37.472626,4.431598,0.511188,-0.038521,5.541856,0.830243,-0.113149,1.139643,0.311101,-0.032068,14
455,'2020/10/15 21:38:33:367',494,16.214958,-1.098016,0.053072,5004.340332,-627.272522,25.601665,-2.550636,3.491863,-0.154091,3.949511,0.027702,0.003505,-0.294489,0.583746,-0.025954,15
456,'2020/10/15 21:38:34:274',495,15.699984,-0.712733,0.039263,4588.765625,-319.273193,9.711102,0.320323,0.602754,-0.019416,6.915709,-0.265399,0.009343,-0.524554,0.253208,-0.007703,16
